#ENGLISH_VERB	GERMAN_TRANSLATION	PERPETRATOR_ANNOTATION	SENTIMENT_OF_AGENT_TOWARDS_PATIENT
abandon	verlassen	OTHER	NEGATIVE
abdicate	abdanken	OTHER	NEGATIVE
abhor	verabscheuen	OTHER	NEGATIVE
abolish	abschaffen	OTHER	NEGATIVE
abscond	fernhalten	OTHER	NEGATIVE
abuse	anpöbeln	PERPETRATOR	NEGATIVE
accuse	vorwerfen	OTHER	NEGATIVE
ache	wehtun	OTHER	NEGATIVE
admonish	ermahnen	OTHER	NEGATIVE
adulterate	verfälschen	PERPETRATOR	NEGATIVE
afflict	peinigen	PERPETRATOR	NEGATIVE
affront	kränken	OTHER	NEGATIVE
aggravate	erschweren	OTHER	NEGATIVE
agonize	abquälen	OTHER	NEGATIVE
ail	plagen	OTHER	NEGATIVE
alarm	alarmieren	OTHER	NEGATIVE
alienate	entfremden	OTHER	NEGATIVE
allege	behaupten	OTHER	NEGATIVE
ambush	überfallen	PERPETRATOR	NEGATIVE
amputate	abschneiden	PERPETRATOR	NEGATIVE
annihilate	auslöschen	PERPETRATOR	NEGATIVE
annoy	irritieren	OTHER	NEGATIVE
antagonize	verfeinden	PERPETRATOR	NEGATIVE
appall	erschrecken	OTHER	NEGATIVE
argue	auseinandersetzen	OTHER	NEGATIVE
atrophy	verkümmern	OTHER	NEGATIVE
avenge	sühnen	OTHER	POSITIVE
ax	niederschlagen	OTHER	NEGATIVE
babble	plappern	OTHER	POSITIVE
bait	locken	OTHER	POSITIVE
balk	scheuen	OTHER	NEGATIVE
bankrupt	zugrunderichten	OTHER	NEGATIVE
bar	versperren	OTHER	NEGATIVE
beg	flehen	OTHER	POSITIVE
beguile	betören	OTHER	POSITIVE
belittle	schlechtmachen	PERPETRATOR	NEGATIVE
bemoan	beklagen	OTHER	NEGATIVE
berate	ausschelten	PERPETRATOR	NEGATIVE
beseech	anflehen	OTHER	POSITIVE
besiege	bedrängen	PERPETRATOR	POSITIVE
besmirch	besudeln	PERPETRATOR	NEGATIVE
beware	hüten	OTHER	NEGATIVE
bewilder	verwirren	OTHER	NEGATIVE
bewitch	verhexen	PERPETRATOR	POSITIVE
bias	beeinflussen	OTHER	NEGATIVE
bicker	streiten	OTHER	NEGATIVE
bitch	meckern	OTHER	NEGATIVE
blackmail	erpressen	PERPETRATOR	NEGATIVE
blame	beschuldigen	OTHER	NEGATIVE
blaspheme	lästern	PERPETRATOR	NEGATIVE
blast	verreißen	PERPETRATOR	NEGATIVE
blather	labern	OTHER	NEGATIVE
bleed	bluten	OTHER	NEGATIVE
blind	blenden	PERPETRATOR	NEGATIVE
blindside	überrumpeln	PERPETRATOR	NEGATIVE
block	absperren	OTHER	NEGATIVE
blur	trüben	OTHER	NEGATIVE
boggle	N/A	OTHER	NEGATIVE
boil	N/A	PERPETRATOR	NEGATIVE
bomb	bombardieren	PERPETRATOR	NEGATIVE
bombard	befeuern	PERPETRATOR	NEGATIVE
botch	verbocken	OTHER	NEGATIVE
bother	nerven	PERPETRATOR	NEGATIVE
bowdlerize	bereinigen	OTHER	NEGATIVE
break	brechen	OTHER	NEGATIVE
bristle	sträuben	OTHER	NEGATIVE
brutalize	brutalisieren	PERPETRATOR	NEGATIVE
buckle	N/A	PERPETRATOR	NEGATIVE
bungle	verhunzen	OTHER	NEGATIVE
burn	abfackeln	PERPETRATOR	NEGATIVE
butcher	abschlachten	PERPETRATOR	NEGATIVE
cackle	gackern	OTHER	NEGATIVE
cajole	schmeicheln	OTHER	POSITIVE
capitulate	kapitulieren	OTHER	POSITIVE
caricature	karikieren	OTHER	NEGATIVE
carp	nörgeln	OTHER	NEGATIVE
castigate	bestrafen	OTHER	NEGATIVE
censure	rügen	OTHER	NEGATIVE
chasten	strafen	OTHER	NEGATIVE
chastise	schelten	OTHER	NEGATIVE
cheapen	verbilligen	OTHER	NEGATIVE
chide	tadeln	OTHER	NEGATIVE
chill	abkühlen	OTHER	NEGATIVE
choke	erwürgen	PERPETRATOR	NEGATIVE
clog	N/A	PERPETRATOR	NEGATIVE
coerce	nötigen	PERPETRATOR	POSITIVE
collude	konspirieren	PERPETRATOR	POSITIVE
commiserate	bemitleiden	OTHER	POSITIVE
compel	zwingen	OTHER	POSITIVE
complain	beschweren	OTHER	NEGATIVE
complicate	verkomplizieren	OTHER	NEGATIVE
concern	beunruhigen	OTHER	NEGATIVE
condemn	aburteilen	OTHER	NEGATIVE
condescend	herablassen	OTHER	NEGATIVE
confess	gestehen	OTHER	POSITIVE
confound	beeinträchtigen	OTHER	NEGATIVE
conspire	verschwören	PERPETRATOR	POSITIVE
constrain	einschränken	OTHER	NEGATIVE
consume	verzehren	OTHER	POSITIVE
contradict	bestreiten	OTHER	NEGATIVE
contravene	übertreten	OTHER	NEGATIVE
corrupt	korrumpieren	PERPETRATOR	NEGATIVE
cringe	erschaudern	OTHER	NEGATIVE
cripple	verkrüppeln	PERPETRATOR	NEGATIVE
crumble	zerbröseln	OTHER	NEGATIVE
crumple	zerquetschen	PERPETRATOR	NEGATIVE
crush	zermalmen	PERPETRATOR	NEGATIVE
cry	weinen	OTHER	NEGATIVE
cut	kürzen	OTHER	NEGATIVE
damn	verdammen	OTHER	NEGATIVE
dangle	nachlaufen	OTHER	POSITIVE
dash	sausen	OTHER	NEGATIVE
debase	herabwürdigen	PERPETRATOR	NEGATIVE
debate	debattieren	OTHER	NEGATIVE
debilitate	schwächen	PERPETRATOR	NEGATIVE
decay	verwesen	OTHER	NEGATIVE
declaim	deklamieren	OTHER	NEGATIVE
decline	verfallen	OTHER	NEGATIVE
decrease	vermindern	OTHER	NEGATIVE
decry	anprangern	OTHER	NEGATIVE
defame	defamieren	PERPETRATOR	NEGATIVE
defile	schänden	PERPETRATOR	NEGATIVE
degrade	erniedrigen	PERPETRATOR	NEGATIVE
dehumanize	entmenschlichen	PERPETRATOR	NEGATIVE
demolish	demolieren	PERPETRATOR	NEGATIVE
demoralize	demoralisieren	PERPETRATOR	NEGATIVE
deny	aberkennen	OTHER	NEGATIVE
deplore	beklagen	OTHER	NEGATIVE
deprecate	missbilligen	OTHER	NEGATIVE
depress	deprimieren	OTHER	NEGATIVE
deprive	entziehen	OTHER	NEGATIVE
deride	verhöhnen	PERPETRATOR	NEGATIVE
desecrate	entweihen	PERPETRATOR	NEGATIVE
despair	verzweifeln	OTHER	NEGATIVE
destroy	fertigmachen	PERPETRATOR	NEGATIVE
devastate	verwüsten	PERPETRATOR	NEGATIVE
deviate	abweichen	OTHER	NEGATIVE
differ	unterscheiden	OTHER	NEGATIVE
dig	graben	OTHER	NEGATIVE
digress	abschweifen	OTHER	NEGATIVE
dilly-dally	bummeln	OTHER	NEGATIVE
dim	abblenden	OTHER	NEGATIVE
disagree	widersprechen	OTHER	NEGATIVE
disallow	zurückweisen	OTHER	NEGATIVE
disapprove	ablehnen	OTHER	NEGATIVE
disarm	entwaffnen	OTHER	NEGATIVE
disbelieve	bezweifeln	OTHER	NEGATIVE
disclaim	leugnen	OTHER	NEGATIVE
discombobulate	durcheinanderbringen	OTHER	NEGATIVE
discomfit	besiegen	OTHER	NEGATIVE
disconcert	verdutzen	OTHER	NEGATIVE
discourage	abraten	OTHER	NEGATIVE
discredit	diskreditieren	PERPETRATOR	NEGATIVE
discriminate	diskriminieren	PERPETRATOR	NEGATIVE
disgust	empören	OTHER	NEGATIVE
dishonor	entehren	PERPETRATOR	NEGATIVE
disillusion	desillusionieren	OTHER	NEGATIVE
disintegrate	zerstückeln	PERPETRATOR	NEGATIVE
dislike	missfallen	OTHER	NEGATIVE
dismay	bestürzen	OTHER	NEGATIVE
disown	verleugnen	PERPETRATOR	NEGATIVE
displace	verscheuchen	PERPETRATOR	NEGATIVE
displease	verärgern	OTHER	NEGATIVE
disprove	entkräften	OTHER	NEGATIVE
disrespect	geringschätzen	PERPETRATOR	NEGATIVE
dissemble	demontieren	OTHER	NEGATIVE
distract	abhalten	OTHER	NEGATIVE
distrust	misstrauen	OTHER	NEGATIVE
divide	teilen	OTHER	NEGATIVE
divorce	scheiden	OTHER	NEGATIVE
downgrade	zurückstufen	OTHER	NEGATIVE
dread	grausen	OTHER	NEGATIVE
droop	ermatten	OTHER	NEGATIVE
dwindle	N/A	PERPETRATOR	NEGATIVE
ejaculate	ejakulieren	OTHER	NEGATIVE
eliminate	beseitigen	PERPETRATOR	NEGATIVE
endanger	gefährden	PERPETRATOR	NEGATIVE
enrage	erzürnen	OTHER	NEGATIVE
enslave	versklaven	PERPETRATOR	NEGATIVE
entrap	verführen	PERPETRATOR	NEGATIVE
envy	beneiden	OTHER	POSITIVE
erase	ausradieren	PERPETRATOR	NEGATIVE
erode	erodieren	OTHER	NEGATIVE
eschew	meiden	OTHER	NEGATIVE
evade	umgehen	OTHER	NEGATIVE
eviscerate	berauben	PERPETRATOR	NEGATIVE
exacerbate	verschlimmern	PERPETRATOR	NEGATIVE
exasperate	verärgern	OTHER	NEGATIVE
excuse	entschuldigen	OTHER	POSITIVE
exhaust	erschöpfen	OTHER	NEGATIVE
exile	vertreiben	PERPETRATOR	NEGATIVE
explode	explodieren	OTHER	NEGATIVE
exploit	ausbeuten	PERPETRATOR	NEGATIVE
exterminate	ausrotten	PERPETRATOR	NEGATIVE
extort	abnötigen	PERPETRATOR	POSITIVE
fail	scheitern	OTHER	NEGATIVE
fall	fallen	OTHER	NEGATIVE
falter	wanken	OTHER	NEGATIVE
fault	N/A	OTHER	NEGATIVE
faze	beunruhigen	OTHER	NEGATIVE
fear	fürchten	OTHER	NEGATIVE
fidget	herumzappeln	OTHER	NEGATIVE
fine	verurteilen	OTHER	NEGATIVE
flirt	flirten	OTHER	POSITIVE
flounder	stammeln	OTHER	NEGATIVE
flout	spotten	PERPETRATOR	NEGATIVE
force	abringen	OTHER	NEGATIVE
foul	foulen	PERPETRATOR	NEGATIVE
fraternize	fraternisieren	OTHER	POSITIVE
freak	ausflippen	OTHER	NEGATIVE
frighten	einschüchtern	PERPETRATOR	NEGATIVE
frustrate	frustrieren	OTHER	NEGATIVE
fulminate	verpuffen	OTHER	NEGATIVE
fumble	umhertasten	OTHER	NEGATIVE
fuss	aufregen	OTHER	NEGATIVE
gainsay	abstreiten	OTHER	NEGATIVE
gall	wurmen	OTHER	NEGATIVE
gamble	zocken	PERPETRATOR	NEGATIVE
gape	aufklaffen	OTHER	NEGATIVE
gawk	glotzen	OTHER	POSITIVE
gibber	herumstottern	OTHER	NEGATIVE
glower	N/A	OTHER	NEGATIVE
goad	anstacheln	PERPETRATOR	NEGATIVE
goof	vermasseln	OTHER	POSITIVE
gossip	tratschen	OTHER	NEGATIVE
grapple	packen	OTHER	NEGATIVE
grate	knirschen	OTHER	NEGATIVE
grieve	betrauern	OTHER	POSITIVE
grill	grillen	OTHER	NEGATIVE
grimace	N/A	OTHER	NEGATIVE
growl	brummen	OTHER	NEGATIVE
grudge	bereuen	OTHER	NEGATIVE
grumble	mosern	OTHER	NEGATIVE
haggle	feilschen	OTHER	POSITIVE
hallucinate	halluzinieren	OTHER	NEGATIVE
harass	belästigen	PERPETRATOR	NEGATIVE
harden	verhärten	OTHER	NEGATIVE
hate	hassen	OTHER	NEGATIVE
haunt	verfolgen	PERPETRATOR	NEGATIVE
hazard	riskieren	OTHER	NEGATIVE
heckle	dazwischenrufen	OTHER	NEGATIVE
hedge	einschränken	OTHER	NEGATIVE
hoodwink	hintergehen	PERPETRATOR	NEGATIVE
horrify	entsetzen	OTHER	NEGATIVE
humiliate	erniedrigen	PERPETRATOR	NEGATIVE
hunger	hungern	OTHER	POSITIVE
hurt	schaden	PERPETRATOR	NEGATIVE
impede	verhindern	OTHER	NEGATIVE
imperil	gefährden	PERPETRATOR	NEGATIVE
implode	zusammenfallen	OTHER	NEGATIVE
importune	behelligen	PERPETRATOR	NEGATIVE
impose	auferlegen	OTHER	POSITIVE
impoverish	N/A	PERPETRATOR	NEGATIVE
imprison	verhaften	OTHER	NEGATIVE
impugn	hinterfragen	OTHER	NEGATIVE
inculcate	einimpfen	OTHER	POSITIVE
indoctrinate	indoktrinieren	PERPETRATOR	POSITIVE
indulge	frönen	OTHER	POSITIVE
infest	befallen	PERPETRATOR	NEGATIVE
inflict	aufdrängen	PERPETRATOR	NEGATIVE
infuriate	aufbringen	PERPETRATOR	NEGATIVE
inhibit	unterbinden	OTHER	NEGATIVE
injure	verletzen	PERPETRATOR	NEGATIVE
insult	beleidigen	PERPETRATOR	NEGATIVE
interfere	einmischen	PERPETRATOR	POSITIVE
interrupt	unterbrechen	OTHER	NEGATIVE
inundate	ertränken	PERPETRATOR	NEGATIVE
irk	verdrießen	OTHER	NEGATIVE
isolate	absondern	PERPETRATOR	NEGATIVE
jeopardize	gefährden	PERPETRATOR	NEGATIVE
jolt	rütteln	OTHER	NEGATIVE
keen	wehklagen	OTHER	NEGATIVE
knock	schlagen	PERPETRATOR	NEGATIVE
lament	lamentieren	OTHER	NEGATIVE
languish	dahinsiechen	OTHER	NEGATIVE
laugh	lachen	OTHER	NEGATIVE
leak	zuspielen	PERPETRATOR	POSITIVE
lecture	dozieren	OTHER	POSITIVE
leer	N/A	PERPETRATOR	POSITIVE
lessen	verkleinern	OTHER	NEGATIVE
loathe	verabscheuen	OTHER	NEGATIVE
long	sehnen	OTHER	POSITIVE
loot	rauben	PERPETRATOR	POSITIVE
lose	verlieren	OTHER	NEGATIVE
lull	lullen	OTHER	POSITIVE
lurch	torkeln	OTHER	NEGATIVE
lurk	lauern	OTHER	NEGATIVE
madden	N/A	OTHER	NEGATIVE
manipulate	manipulieren	PERPETRATOR	POSITIVE
massacre	massakrieren	PERPETRATOR	NEGATIVE
mean	beabsichtigen	OTHER	NEGATIVE
mind	aufpassen	OTHER	NEGATIVE
miscalculate	verrechnen	OTHER	NEGATIVE
mishandle	misshandeln	OTHER	NEGATIVE
misinterpret	missinterpretieren	OTHER_OTHER	OTHER	NEGATIVE
mislead	irreführen	PERPETRATOR	NEGATIVE
misread	verlesen	OTHER	NEGATIVE
misunderstand	missverstehen	OTHER	NEGATIVE
misuse	N/A	PERPETRATOR	NEGATIVE
moan	ächzen	OTHER	NEGATIVE
molest	missbrauchen	PERPETRATOR	POSITIVE
mope	N/A	OTHER	NEGATIVE
mourn	trauern	OTHER	NEGATIVE
mystify	mystifizieren	OTHER	POSITIVE
nag	N/A	OTHER	POSITIVE
need	brauchen	OTHER	POSITIVE
neglect	vernachlässigen	PERPETRATOR	NEGATIVE
niggle	trödeln	OTHER	NEGATIVE
nix	absagen	OTHER	NEGATIVE
numb	abstumpfen	OTHER	NEGATIVE
object	einwenden	OTHER	NEGATIVE
obsess	N/A	OTHER	NEGATIVE
obstruct	aufhalten	OTHER	NEGATIVE
oppose	entgegenstellen	OTHER	NEGATIVE
ostracize	verbannen	PERPETRATOR	NEGATIVE
outrage	entrüsten	OTHER	NEGATIVE
overact	übertreiben	OTHER	NEGATIVE
overcome	überwinden	OTHER	POSITIVE
overemphasize	überbetonen	OTHER	POSITIVE
overlook	übersehen	OTHER	NEGATIVE
overreach	übernehmen	OTHER	NEGATIVE
overshadow	überschatten	OTHER	NEGATIVE
overstate	überbewerten	OTHER	POSITIVE
overwhelm	überwältigen	PERPETRATOR	NEGATIVE
pain	schmerzen	OTHER	NEGATIVE
parody	parodieren	OTHER	POSITIVE
patronize	unterstützen	OTHER	NEGATIVE
perish	umkommen	OTHER	NEGATIVE
perplex	verblüffen	OTHER	NEGATIVE
pervert	pervertieren	PERPETRATOR	NEGATIVE
petrify	versteinern	PERPETRATOR	NEGATIVE
pillage	plündern	PERPETRATOR	POSITIVE
pine	schmachten	OTHER	POSITIVE
pity	N/A	OTHER	POSITIVE
plagiarize	plagiieren	PERPETRATOR	POSITIVE
plague	umtreiben	PERPETRATOR	NEGATIVE
plunder	ausplündern	PERPETRATOR	POSITIVE
pollute	verpesten	PERPETRATOR	NEGATIVE
pout	schmollen	OTHER	NEGATIVE
prate	schwätzen	OTHER	NEGATIVE
prattle	lallen	OTHER	NEGATIVE
precipitate	verursachen	OTHER	NEGATIVE
preoccupy	beschäftigen	OTHER	NEGATIVE
pretend	vortäuschen	PERPETRATOR	POSITIVE
prevaricate	N/A	OTHER	NEGATIVE
prickle	kribbeln	OTHER	NEGATIVE
procrastinate	prokrastinieren	OTHER	NEGATIVE
prohibit	verbieten	OTHER	NEGATIVE
propagandize	propagandieren	PERPETRATOR	NEGATIVE
protest	protestieren	OTHER	NEGATIVE
provoke	provozieren	PERPETRATOR	NEGATIVE
punish	belangen	OTHER	NEGATIVE
puzzle	rätseln	OTHER	NEGATIVE
quack	quacken	OTHER	NEGATIVE
quarrel	zanken	PERPETRATOR	NEGATIVE
quit	aufgeben	OTHER	NEGATIVE
rack	erschüttern	OTHER	NEGATIVE
rage	toben	OTHER	NEGATIVE
rail	schimpfen	OTHER	NEGATIVE
rampage	randalieren	PERPETRATOR	NEGATIVE
rankle	wurmen	OTHER	NEGATIVE
rant	ereifern	OTHER	NEGATIVE
rationalize	rationalisieren	OTHER	POSITIVE
ravage	verheeren	PERPETRATOR	NEGATIVE
rebuke	verweisen	OTHER	NEGATIVE
recant	widerrufen	OTHER	NEGATIVE
recoil	abprallen	OTHER	NEGATIVE
regress	zurückentwickeln	OTHER	NEGATIVE
regret	bedauern	OTHER	NEGATIVE
reject	verweigern	OTHER	NEGATIVE
relapse	zurückfallen	OTHER	POSITIVE
renounce	abschwören	OTHER	NEGATIVE
repel	abwehren	OTHER	NEGATIVE
repress	unterdrücken	PERPETRATOR	NEGATIVE
reprimand	maßregeln	OTHER	NEGATIVE
reproach	vorhalten	OTHER	NEGATIVE
reprove	ermahnen	OTHER	NEGATIVE
repudiate	verwerfen	OTHER	NEGATIVE
repulse	zurückwerfen	OTHER	NEGATIVE
restrict	begrenzen	OTHER	NEGATIVE
retire	zurücktreten	OTHER	NEGATIVE
retreat	zurückziehen	OTHER	NEGATIVE
revile	beschimpfen	OTHER	NEGATIVE
revoke	annullieren	OTHER	NEGATIVE
rhapsodize	schwärmen	OTHER	POSITIVE
ridicule	verlachen	PERPETRATOR	NEGATIVE
rile	reizen	OTHER	NEGATIVE
rival	rivalisieren	OTHER	POSITIVE
rot	vermodern	OTHER	NEGATIVE
rupture	zerreißen	PERPETRATOR	NEGATIVE
sabotage	sabotieren	PERPETRATOR	NEGATIVE
sap	erschöpfen	OTHER	NEGATIVE
satirize	persiflieren	PERPETRATOR	NEGATIVE
scandalize	schockieren	PERPETRATOR	NEGATIVE
scar	entstellen	PERPETRATOR	NEGATIVE
scare	verängstigen	PERPETRATOR	NEGATIVE
scoff	spötteln	PERPETRATOR	NEGATIVE
scold	ausschimpfen	OTHER	NEGATIVE
scorn	verschmähen	PERPETRATOR	NEGATIVE
scowl	starren	OTHER	NEGATIVE
scream	anschreien	OTHER	NEGATIVE
screech	schreien	OTHER	NEGATIVE
seethe	schäumen	OTHER	NEGATIVE
shadow	beschatten	OTHER	POSITIVE
shake	schütteln	OTHER	NEGATIVE
shame	beschämen	PERPETRATOR	NEGATIVE
shatter	zertrümmern	PERPETRATOR	NEGATIVE
shiver	frösteln	OTHER	NEGATIVE
shock	beleidigen	PERPETRATOR	NEGATIVE
shortchange	ausnutzen	PERPETRATOR	POSITIVE
shroud	verdecken	OTHER	NEGATIVE
shrug	zucken	OTHER	NEGATIVE
shun	ausweichen	OTHER	NEGATIVE
sidetrack	ablenken	OTHER	NEGATIVE
skulk	herumschleichen	OTHER	NEGATIVE
slander	verleumden	PERPETRATOR	NEGATIVE
slap	ohrfeigen	PERPETRATOR	NEGATIVE
slight	beleidigen	PERPETRATOR	NEGATIVE
smolder	glühen	OTHER	NEGATIVE
smother	ersticken	PERPETRATOR	NEGATIVE
smoulder	qualmen	OTHER	NEGATIVE
snarl	knurren	OTHER	NEGATIVE
snatch	entführen	PERPETRATOR	POSITIVE
sneak	schleichen	PERPETRATOR	POSITIVE
sneer	N/A	OTHER	NEGATIVE
snub	rüffeln	OTHER	NEGATIVE
sober	ernüchtern	OTHER	NEGATIVE
spank	verprügeln	PERPETRATOR	NEGATIVE
split	aufteilen	OTHER	NEGATIVE
spoil	verderben	PERPETRATOR	POSITIVE
spurn	abweisen	OTHER	NEGATIVE
sputter	zischen	OTHER	NEGATIVE
squabble	kabbeln	OTHER	NEGATIVE
squash	zerdrücken	PERPETRATOR	NEGATIVE
stab	erstechen	PERPETRATOR	NEGATIVE
stagger	schwanken	OTHER	NEGATIVE
stagnate	stagnieren	OTHER	NEGATIVE
stain	abfärben	OTHER	NEGATIVE
starve	aushungern	PERPETRATOR	NEGATIVE
stifle	abdrosseln	PERPETRATOR	NEGATIVE
stigmatize	stigmatisieren	OTHER	NEGATIVE
sting	stechen	OTHER	NEGATIVE
strain	belasten	OTHER	NEGATIVE
stress	beanspruchen	OTHER	POSITIVE
strike	N/A	PERPETRATOR	POSITIVE
stumble	stolpern	OTHER	NEGATIVE
stump	stapfen	OTHER	NEGATIVE
stun	betäuben	PERPETRATOR	NEGATIVE
subjugate	bezwingen	PERPETRATOR	POSITIVE
subside	nachlassen	OTHER	NEGATIVE
succumb	erliegen	OTHER	POSITIVE
sulk	schmollen	OTHER	NEGATIVE
sully	beschmutzen	PERPETRATOR	NEGATIVE
sunder	N/A	PERPETRATOR	POSITIVE
suppress	vertuschen	PERPETRATOR	NEGATIVE
swagger	stolzieren	OTHER	POSITIVE
swear	schwören	OTHER	NEGATIVE
swoon	dahinschmelzen	OTHER	POSITIVE
tarnish	beflecken	PERPETRATOR	NEGATIVE
tease	hänseln	PERPETRATOR	NEGATIVE
temper	mildern	OTHER	NEGATIVE
terrorize	terrorisieren	PERPETRATOR	NEGATIVE
threaten	bedrohen	PERPETRATOR	NEGATIVE
thwart	vereiteln	OTHER	NEGATIVE
toil	schuften	OTHER	NEGATIVE
torment	quälen	PERPETRATOR	NEGATIVE
torture	foltern	PERPETRATOR	NEGATIVE
traduce	verleumden	PERPETRATOR	NEGATIVE
transgress	verstoßen	PERPETRATOR	NEGATIVE
trivialize	pauschalisieren	OTHER	NEGATIVE
trouble	stören	PERPETRATOR	NEGATIVE
twist	verdrehen	PERPETRATOR	NEGATIVE
underestimate	unterschätzen	OTHER	NEGATIVE
undo	öffnen	OTHER	NEGATIVE
unleash	entfesseln	PERPETRATOR	POSITIVE
unnerve	entnerven	OTHER	NEGATIVE
upbraid	zurechtweisen	OTHER	NEGATIVE
vanish	verschwinden	OTHER	NEGATIVE
victimize	schikanieren	PERPETRATOR	NEGATIVE
vie	wetteifern	OTHER	POSITIVE
violate	vergewaltigen	PERPETRATOR	NEGATIVE
vomit	erbrechen	OTHER	NEGATIVE
wail	heulen	OTHER	NEGATIVE
wallow	schwelgen	OTHER	POSITIVE
wane	abflauen	OTHER	NEGATIVE
warp	verzerren	PERPETRATOR	NEGATIVE
waste	verschwenden	PERPETRATOR	NEGATIVE
weaken	erlahmen	PERPETRATOR	NEGATIVE
weep	beweinen	OTHER	POSITIVE
whimper	wimmern	OTHER	NEGATIVE
wilt	welken	OTHER	NEGATIVE
wince	zusammenfahren	OTHER	NEGATIVE
withhold	vorenthalten	PERPETRATOR	POSITIVE
wound	verwunden	PERPETRATOR	NEGATIVE
wreck	ruinieren	PERPETRATOR	NEGATIVE
wrest	entreißen	PERPETRATOR	POSITIVE
wrestle	ringen	OTHER	POSITIVE
writhe	zusammenkrümmen	OTHER	NEGATIVE
wrong	N/A	PERPETRATOR	NEGATIVE
yelp	aufschreien	OTHER	NEGATIVE
